,tweet_id,tweet_text,AR,MB
80,1393197449318178817,"Sen. Rubio applauds the Senate’s passage of his bipartisan resolution (S. Res 531) honoring @DamasdBlanco, a women-led peaceful movement in support of freedom, the release of all political prisoners and the respect of human rights of the Cuban people.",2,2
2487,908790765354135567,Some of the women they help have been trafficked on one website: #Backpage. Backpage has knowingly facilitated online sex trafficking.#SESTA https://t.co/4jXgt1mM4F,1,1
1004,745340522756079620,Silence is not #enough. We must act on commonsense #GunSafety reforms that would close the #TerrorGap &amp; #DisarmHate.,1,1
2882,909799295448240133,I was honored to welcome nine servicemembers and Veterans to our country for the first time as citizens last week https://t.co/fixBHqan1n,3,3
3032,1080194448884154369,RT @brendanmdunn: @ChuckGrassley @JohnCornyn @LindseyGrahamSC @tedcruz this might be useful information for some of your colleagues. https:…,3,3
2405,908759622542135297,@GovernorVA @MarkWarner Especially welcome news for VA’s rural counties that have been hurt by Pres Trump’s efforts to sabotage health care – this needs to stop.,1,1
404,1453433735265783808,"Facebook isn't telling the truth and has withheld critical details about the harmful impacts of their algorithms – endangering lives and putting our national security at risk.

That's why I'm fighting to stop social media companies from promoting such dangerous content. https://t.co/M6bjWnSsLo",1,1
3302,1080879707661443072,"I introduced this bill in 2016, when it became clear that then candidate Trump wouldn’t #ReleaseTheReturns. It’s been over two years and he is still keeping his financial dealings secret. https://t.co/fSjMAvsm3o",2,2
910,629656535434723328,"Well done to Rome, GA's @Makervillage a Growth Accelerator Fund winner from @SBAgov.",3,3
627,471316504001404928,RT @NewsOKPolitics: U.S. Supreme Court rejects Oklahoma appeal on EPA rule http://t.co/wegY3hmOzP,1,1
48,1432346211009302529,"RT @SenateAging: NOW LIVE: Special field hearing in Wilkes-Barre, PA on expanding Medicare to cover vision, dental and hearing. https://t.c…",2,2
3371,1080918051170603009,"I'm humbled by the opportunity to represent Pennsylvania in the U.S. Senate for another term.   I will spend the 116th Congress fighting for middle-class families, children, workers, and seniors, to make sure that everyone has a fair shot at the American Dream. https://t.co/QDmvXCWznI",1,1
1151,791002655170568192,"Not only does @Ted_Strickland fail to defend his record, he can't defend his rhetoric either. Watch: https://t.co/5XSkvNl6ls",3,3
575,478702509117034496,Incredible win by Team #USA! Congrats to @USSoccer &amp; #USMNT on a great start to #WorldCup2014 https://t.co/peWVEp6b9v #1N1T,3,3
52,1466892616201641992,RT @bhm_va: Look who stopped by. Happy to have @PeteButtigieg @governorralphnortham @abigailspanberger @timkaine @repmceachin @levarstoney…,3,3
3336,1080899617116561408,"Proud of the work we finished in the last #Congress on #tax reform, #SESTA, #STOPAct, #SecondChance &amp; more. Looking forward to continuing my bipartisan work to deliver results for #Ohio in the new Congress that begins today.",2,2
780,582005486645571585,"Tomorrow is the last day to enjoy #NYmaple for breakfast, lunch &amp; dinner at Thurman Maple Days.  http://t.co/DUtFo2yJio #nytownoftheday",3,3
3124,1080541281296793600,The #TrumpShutdown is disproportionately hurting Native American tribes in New Mexico and across the nation. People's livelihoods are at stake. Pres. Trump – accept the deal to fund the government and put an end to the shutdown. https://t.co/L1w8cBjW6r,1,1
2394,908756134038769676,I joined @marcorubio in urging the State Department to maintain additional security-assistance funding for Israel: https://t.co/H3N2KBJDkL,2,2
1210,739946241472245761,"Need help with the IRS, VA, or Social Security? My office can help! https://t.co/ls0z1fnt1s https://t.co/9iv4Ug361N",3,3
